country,retained_rows,rank,cumulative_share
China,140,1,0.213089802130898
India,95,2,0.3576864535768645
Russia,55,3,0.441400304414003
México,33,4,0.4916286149162861
Ukraine,26,5,0.5312024353120244
Spain,23,6,0.5662100456621004
Iran,23,7,0.6012176560121766
Venezuela,22,8,0.634703196347032
Brazil,16,9,0.6590563165905632
Vietnam,15,10,0.6818873668188736
Turkey,14,11,0.7031963470319634
Argentina,12,12,0.7214611872146118
Romania,10,13,0.7366818873668188
United States,8,14,0.7488584474885844
Indonesia,8,15,0.76103500761035
Thailand,8,16,0.7732115677321156
Côte d'Ivoire,7,17,0.7838660578386606
Malaysia,6,18,0.7929984779299848
Colombia,5,19,0.8006088280060882
Italy,5,20,0.8082191780821918
Norway,5,21,0.8158295281582952
Canada,5,22,0.8234398782343988
Jamaica,4,23,0.8295281582952816
South Africa,4,24,0.8356164383561644
Cyprus,4,25,0.8417047184170472
Kosovo,4,26,0.84779299847793
Belarus,4,27,0.8538812785388128
Czechia,4,28,0.8599695585996956
France,4,29,0.8660578386605784
Poland,4,30,0.8721461187214612
Germany,3,31,0.8767123287671232
Nigeria,3,32,0.8812785388127854
Croatia,3,33,0.8858447488584474
Greece,3,34,0.8904109589041096
Kazakhstan,3,35,0.8949771689497716
Hungary,3,36,0.8995433789954338
Chile,3,37,0.9041095890410958
Algeria,3,38,0.908675799086758
Ghana,2,39,0.9117199391171994
Iraq,2,40,0.9147640791476408
Japan,2,41,0.9178082191780822
Finland,2,42,0.9208523592085236
Lithuania,2,43,0.923896499238965
New Zealand,2,44,0.9269406392694064
Ecuador,2,45,0.9299847792998478
Sweden,2,46,0.9330289193302892
Estonia,2,47,0.9360730593607306
Ireland,2,48,0.939117199391172
Bosnia and Herzegovina,2,49,0.9421613394216134
Philippines,2,50,0.9452054794520548
Cambodia,2,51,0.9482496194824962
Réunion,2,52,0.9512937595129376
Bulgaria,2,53,0.954337899543379
Montenegro,2,54,0.9573820395738204
Albania,2,55,0.9604261796042618
Barbados,1,56,0.9619482496194824
Nepal,1,57,0.9634703196347032
Curaçao,1,58,0.9649923896499238
Slovakia,1,59,0.9665144596651446
Lebanon,1,60,0.9680365296803652
Malta,1,61,0.969558599695586
French Guiana,1,62,0.9710806697108066
Saudi Arabia,1,63,0.9726027397260274
Costa Rica,1,64,0.974124809741248
Bahamas,1,65,0.9756468797564688
Gabon,1,66,0.9771689497716894
Dominican Republic,1,67,0.9786910197869102
Northern Cyprus,1,68,0.9802130898021308
Aruba,1,69,0.9817351598173516
South Korea,1,70,0.9832572298325722
Georgia,1,71,0.984779299847793
Mauritius,1,72,0.9863013698630136
Uruguay,1,73,0.9878234398782344
Taiwan,1,74,0.989345509893455
Brunei,1,75,0.9908675799086758
Equatorial Guinea,1,76,0.9923896499238964
Papua New Guinea,1,77,0.9939117199391172
New Caledonia,1,78,0.9954337899543378
Azerbaijan,1,79,0.9969558599695586
Iceland,1,80,0.9984779299847792
Portugal,1,81,1.0
