country,rank,retained_rows,cumulative_share
China,1,140,0.213089802130898
India,2,95,0.3576864535768645
Russia,3,55,0.441400304414003
México,4,33,0.4916286149162861
Ukraine,5,26,0.5312024353120244
Spain,6,23,0.5662100456621004
Iran,7,23,0.6012176560121766
Venezuela,8,22,0.634703196347032
Brazil,9,16,0.6590563165905632
Vietnam,10,15,0.6818873668188736
Turkey,11,14,0.7031963470319634
Argentina,12,12,0.7214611872146118
Romania,13,10,0.7366818873668188
United States,14,8,0.7488584474885844
Indonesia,15,8,0.76103500761035
Thailand,16,8,0.7732115677321156
Côte d'Ivoire,17,7,0.7838660578386606
Malaysia,18,6,0.7929984779299848
Colombia,19,5,0.8006088280060882
Italy,20,5,0.8082191780821918
Norway,21,5,0.8158295281582952
Canada,22,5,0.8234398782343988
Jamaica,23,4,0.8295281582952816
South Africa,24,4,0.8356164383561644
Cyprus,25,4,0.8417047184170472
Kosovo,26,4,0.84779299847793
Belarus,27,4,0.8538812785388128
Czechia,28,4,0.8599695585996956
France,29,4,0.8660578386605784
Poland,30,4,0.8721461187214612
Germany,31,3,0.8767123287671232
Nigeria,32,3,0.8812785388127854
Croatia,33,3,0.8858447488584474
Greece,34,3,0.8904109589041096
Kazakhstan,35,3,0.8949771689497716
Hungary,36,3,0.8995433789954338
Chile,37,3,0.9041095890410958
Algeria,38,3,0.908675799086758
Ghana,39,2,0.9117199391171994
Iraq,40,2,0.9147640791476408
Japan,41,2,0.9178082191780822
Finland,42,2,0.9208523592085236
Lithuania,43,2,0.923896499238965
New Zealand,44,2,0.9269406392694064
Ecuador,45,2,0.9299847792998478
Sweden,46,2,0.9330289193302892
Estonia,47,2,0.9360730593607306
Ireland,48,2,0.939117199391172
Bosnia and Herzegovina,49,2,0.9421613394216134
Philippines,50,2,0.9452054794520548
Cambodia,51,2,0.9482496194824962
Réunion,52,2,0.9512937595129376
Bulgaria,53,2,0.954337899543379
Montenegro,54,2,0.9573820395738204
Albania,55,2,0.9604261796042618
Barbados,56,1,0.9619482496194824
Nepal,57,1,0.9634703196347032
Curaçao,58,1,0.9649923896499238
Slovakia,59,1,0.9665144596651446
Lebanon,60,1,0.9680365296803652
Malta,61,1,0.969558599695586
French Guiana,62,1,0.9710806697108066
Saudi Arabia,63,1,0.9726027397260274
Costa Rica,64,1,0.974124809741248
Bahamas,65,1,0.9756468797564688
Gabon,66,1,0.9771689497716894
Dominican Republic,67,1,0.9786910197869102
Northern Cyprus,68,1,0.9802130898021308
Aruba,69,1,0.9817351598173516
South Korea,70,1,0.9832572298325722
Georgia,71,1,0.984779299847793
Mauritius,72,1,0.9863013698630136
Uruguay,73,1,0.9878234398782344
Taiwan,74,1,0.989345509893455
Brunei,75,1,0.9908675799086758
Equatorial Guinea,76,1,0.9923896499238964
Papua New Guinea,77,1,0.9939117199391172
New Caledonia,78,1,0.9954337899543378
Azerbaijan,79,1,0.9969558599695586
Iceland,80,1,0.9984779299847792
Portugal,81,1,1.0
