need_decile,observed_median,observed_p10,observed_p25,expected_median,n
1,-0.31110757130124295,-1.5066453358776777,-1.4158309804397269,-0.4789449670146191,11422
2,-0.14407169802799685,-1.4579156817402403,-1.1863520944783346,-0.2761160413296553,11422
3,-0.1067426982676343,-1.3818244570978255,-1.043290168695164,-0.1688386848910968,11422
4,-0.15504889952820822,-1.3906843942137237,-1.0751794276527515,-0.10508037219039615,11422
5,-0.17697072923041113,-1.3716485587338316,-1.1019221054915453,-0.0878395182732517,11422
6,-0.1975896270038049,-1.3595443211152003,-1.069902553341077,-0.0302068430434232,11422
7,-0.147622187534,-1.3413032741118822,-0.907492088415101,0.06333593183988184,11422
8,-0.12032576362546266,-1.3222674386319901,-0.7766451494645104,0.15644708807868957,11422
9,0.4953421460347608,-1.1044041908159254,-0.43651476944905865,0.37739778732697543,11422
10,1.406417297254085,-0.2578762873497732,1.0412217642581805,0.9169642972460796,11422
