year,rows,q75,q90,q95,q75_share,q90_share,q95_share
2015,11422,676,101,21,0.05918403081772019,0.008842584486079495,0.0018385571703729644
2016,11422,673,99,21,0.0589213797933812,0.008667483803186833,0.0018385571703729644
2017,11422,680,95,22,0.059534232183505516,0.008317282437401506,0.0019261075118192962
2018,11422,668,96,22,0.058483628086149535,0.008404832778847838,0.0019261075118192962
2019,11422,665,97,23,0.05822097706181054,0.00849238312029417,0.0020136578532656277
2020,11422,657,99,24,0.05752057433023989,0.008667483803186833,0.0021012081947119595
2021,11422,678,96,24,0.05935913150061285,0.008404832778847838,0.0021012081947119595
2022,11422,662,87,19,0.057958326037471544,0.007616879705830853,0.0016634564874803011
2023,11422,680,93,22,0.059534232183505516,0.008142181754508843,0.0019261075118192962
2024,11422,657,83,14,0.05752057433023989,0.007266678340045526,0.001225704780248643
