year,rows,components,countries,q75,uncertainty,mean_support
2015,11422,11422,191,675,0.4980738924881807,0.5000437751707232
2016,11422,11422,191,669,0.4980738924881807,0.5000437751707232
2017,11422,11422,191,676,0.4980738924881807,0.5000437751707232
2018,11422,11422,191,667,0.4980738924881807,0.5000437751707232
2019,11422,11422,191,653,0.4980738924881807,0.5000437751707232
2020,11422,11422,191,662,0.4980738924881807,0.5000437751707232
2021,11422,11422,191,681,0.4980738924881807,0.5000437751707232
2022,11422,11422,191,657,0.4980738924881807,0.5000437751707232
2023,11422,11422,191,672,0.4980738924881807,0.5000437751707232
2024,11422,11422,191,651,0.4980738924881807,0.5000437751707232
