country,retained_components,rank,share,cumulative_share
China,137,1,0.21044546850998463,0.21044546850998463
India,97,2,0.1490015360983103,0.35944700460829493
Russia,56,3,0.08602150537634409,0.44546850998463905
México,33,4,0.05069124423963134,0.4961597542242704
Ukraine,27,5,0.041474654377880185,0.5376344086021506
Spain,23,6,0.03533026113671275,0.5729646697388634
Venezuela,21,7,0.03225806451612903,0.6052227342549924
Iran,20,8,0.030721966205837174,0.6359447004608296
Brazil,16,9,0.02457757296466974,0.6605222734254994
Turkey,14,10,0.021505376344086023,0.6820276497695854
Vietnam,14,11,0.021505376344086023,0.7035330261136714
Argentina,12,12,0.018433179723502304,0.7219662058371737
Romania,10,13,0.015360983102918587,0.7373271889400923
Côte d'Ivoire,7,14,0.010752688172043012,0.7480798771121353
Indonesia,7,15,0.010752688172043012,0.7588325652841783
Thailand,7,16,0.010752688172043012,0.7695852534562213
United States,7,17,0.010752688172043012,0.7803379416282643
Malaysia,6,18,0.009216589861751152,0.7895545314900154
Norway,5,19,0.007680491551459293,0.7972350230414748
Kosovo,5,20,0.007680491551459293,0.8049155145929341
Canada,5,21,0.007680491551459293,0.8125960061443934
Italy,5,22,0.007680491551459293,0.8202764976958528
Colombia,5,23,0.007680491551459293,0.8279569892473121
Jamaica,4,24,0.006144393241167435,0.8341013824884795
South Africa,4,25,0.006144393241167435,0.840245775729647
Poland,4,26,0.006144393241167435,0.8463901689708144
Belarus,4,27,0.006144393241167435,0.8525345622119819
France,4,28,0.006144393241167435,0.8586789554531493
Czechia,4,29,0.006144393241167435,0.8648233486943168
Cyprus,4,30,0.006144393241167435,0.8709677419354842
Dominican Republic,3,31,0.004608294930875576,0.8755760368663598
Nigeria,3,32,0.004608294930875576,0.8801843317972353
Greece,3,33,0.004608294930875576,0.8847926267281109
Algeria,3,34,0.004608294930875576,0.8894009216589864
Kazakhstan,3,35,0.004608294930875576,0.894009216589862
Croatia,3,36,0.004608294930875576,0.8986175115207375
Iraq,3,37,0.004608294930875576,0.9032258064516131
Hungary,3,38,0.004608294930875576,0.9078341013824887
Montenegro,2,39,0.0030721966205837174,0.9109062980030723
Réunion,2,40,0.0030721966205837174,0.913978494623656
Sweden,2,41,0.0030721966205837174,0.9170506912442397
Chile,2,42,0.0030721966205837174,0.9201228878648233
Bosnia and Herzegovina,2,43,0.0030721966205837174,0.923195084485407
Bulgaria,2,44,0.0030721966205837174,0.9262672811059907
Albania,2,45,0.0030721966205837174,0.9293394777265743
Lithuania,2,46,0.0030721966205837174,0.932411674347158
Ghana,2,47,0.0030721966205837174,0.9354838709677417
Japan,2,48,0.0030721966205837174,0.9385560675883253
Cambodia,2,49,0.0030721966205837174,0.941628264208909
Finland,2,50,0.0030721966205837174,0.9447004608294927
Ireland,2,51,0.0030721966205837174,0.9477726574500763
Germany,2,52,0.0030721966205837174,0.95084485407066
Estonia,2,53,0.0030721966205837174,0.9539170506912437
New Zealand,2,54,0.0030721966205837174,0.9569892473118273
Azerbaijan,1,55,0.0015360983102918587,0.9585253456221192
Afghanistan,1,56,0.0015360983102918587,0.9600614439324111
Barbados,1,57,0.0015360983102918587,0.961597542242703
Bahamas,1,58,0.0015360983102918587,0.9631336405529949
Brunei,1,59,0.0015360983102918587,0.9646697388632868
Aruba,1,60,0.0015360983102918587,0.9662058371735787
Ecuador,1,61,0.0015360983102918587,0.9677419354838706
Curaçao,1,62,0.0015360983102918587,0.9692780337941624
Equatorial Guinea,1,63,0.0015360983102918587,0.9708141321044543
French Guiana,1,64,0.0015360983102918587,0.9723502304147462
Gabon,1,65,0.0015360983102918587,0.9738863287250381
Georgia,1,66,0.0015360983102918587,0.97542242703533
Lebanon,1,67,0.0015360983102918587,0.9769585253456219
Iceland,1,68,0.0015360983102918587,0.9784946236559138
Costa Rica,1,69,0.0015360983102918587,0.9800307219662057
Papua New Guinea,1,70,0.0015360983102918587,0.9815668202764976
Mauritius,1,71,0.0015360983102918587,0.9831029185867894
Malta,1,72,0.0015360983102918587,0.9846390168970813
Nepal,1,73,0.0015360983102918587,0.9861751152073732
New Caledonia,1,74,0.0015360983102918587,0.9877112135176651
Portugal,1,75,0.0015360983102918587,0.989247311827957
Philippines,1,76,0.0015360983102918587,0.9907834101382489
Northern Cyprus,1,77,0.0015360983102918587,0.9923195084485408
Saudi Arabia,1,78,0.0015360983102918587,0.9938556067588327
South Korea,1,79,0.0015360983102918587,0.9953917050691246
Slovakia,1,80,0.0015360983102918587,0.9969278033794164
Taiwan,1,81,0.0015360983102918587,0.9984639016897083
Uruguay,1,82,0.0015360983102918587,1.0000000000000002
