specification,retained_2024,countries_2024,china_india_share_2024,denominator_certain_2024,denominator_uncertain_2024,jaccard_vs_primary_q75_2024,overlap_with_primary_count_2024,spearman_deficit_score_vs_primary_2024,draw,w_demand,w_hazard,w_urban_form
dirichlet_0000,667,95,0.38830584707646176,143,524,0.5131428571428571,449,0.9701189707928033,0,0.006851353915201143,0.4304034246520265,0.5627452214327723
dirichlet_0001,557,89,0.43447037701974867,104,453,0.42823529411764705,364,0.9603344583914132,1,0.014135944611706554,0.6209871983091653,0.36487685707912815
dirichlet_0002,680,79,0.33676470588235297,217,463,0.5954653937947494,499,0.9562794541483599,2,0.4758267760264057,0.1728315958433271,0.3513416281302671
dirichlet_0003,680,78,0.3338235294117647,217,463,0.5954653937947494,499,0.9563331304472812,3,0.49143020194415593,0.17867262393316444,0.32989717412267955
dirichlet_0004,724,88,0.38950276243093923,193,531,0.44004171011470283,422,0.9485301328896989,4,0.24631808420563084,0.008733163323226082,0.744948752471143
dirichlet_0005,700,86,0.3628571428571429,191,509,0.7532299741602068,583,0.967932897650371,5,0.3497473686224731,0.2650926706869105,0.3851599606906165
dirichlet_0006,750,68,0.472,294,456,0.26756756756756755,297,0.9340172562804478,6,0.9398024145218868,0.052252246753936034,0.00794533872417707
dirichlet_0007,704,73,0.4289772727272727,221,483,0.4890590809628009,447,0.9679698966929128,7,0.5496157234591451,0.3716669808543055,0.07871729568654942
dirichlet_0008,643,74,0.4416796267496112,184,459,0.4908256880733945,428,0.9726079514368549,8,0.45902085533391807,0.4816381124707731,0.05934103219530883
dirichlet_0009,682,74,0.3592375366568915,249,433,0.4065126050420168,387,0.9378554430642632,9,0.6986323677645594,0.05600466002792919,0.2453629722075114
dirichlet_0010,723,86,0.37206085753803597,192,531,0.6808769792935444,559,0.9677304853893545,10,0.2849263112001152,0.24333083608432352,0.4717428527155614
dirichlet_0011,689,85,0.37735849056603776,203,486,0.510662177328844,455,0.9480132322177652,11,0.3750525978326161,0.059070401696687896,0.565877000470696
dirichlet_0012,528,80,0.4696969696969697,104,424,0.26737967914438504,250,0.944249752065532,12,0.08657665881837498,0.8930821830569776,0.020341158124647356
