specification,model_family,x_columns,ridge_alpha,r2_in_sample,rmse,mae,retained_2024,countries_2024,china_india_share_2024,denominator_certain_2024,denominator_uncertain_2024,jaccard_vs_primary_q75_2024,overlap_with_primary_count_2024,spearman_deficit_score_vs_primary_2024
ols_legacy_controls,ols_legacy_controls,intercept|need_composite_z|population_density_proxy|nearest_airport_km|official_station_density_50km|coast_distance_km,0,0.28455486005074504,0.8458399020791434,0.7363985770745239,708,85,0.3714689265536723,192,516,0.8297587131367292,619,0.9713191672427872
ridge_legacy_controls_alpha1,ridge_legacy_controls_alpha1,intercept|need_composite_z|population_density_proxy|nearest_airport_km|official_station_density_50km|coast_distance_km,1,0.28455486004188635,0.8458399020843801,0.7363988852291246,708,85,0.3714689265536723,192,516,0.8297587131367292,619,0.9713192952765742
ridge_legacy_controls_alpha10,ridge_legacy_controls_alpha10,intercept|need_composite_z|population_density_proxy|nearest_airport_km|official_station_density_50km|coast_distance_km,10,0.28455485916498313,0.8458399026027424,0.7364016585276633,708,85,0.3714689265536723,192,516,0.8297587131367292,619,0.9713213852656786
ols_need_only,ols_need_only,intercept|need_composite_z,0,0.15182405662612053,0.9209646808504002,0.8018975743491245,568,66,0.49471830985915494,137,431,0.6803840877914952,496,0.8923830342911228
ols_without_population_density_proxy,ols_without_population_density_proxy,intercept|need_composite_z|nearest_airport_km|official_station_density_50km|coast_distance_km,0,0.27214404768706146,0.8531447428853668,0.745895458396833,726,86,0.38705234159779617,202,524,0.8197368421052632,623,0.9614705141338635
ols_without_nearest_airport_km,ols_without_nearest_airport_km,intercept|need_composite_z|population_density_proxy|official_station_density_50km|coast_distance_km,0,0.2106662948353324,0.8884445425374999,0.7669412141572629,609,78,0.42857142857142855,148,461,0.7632311977715878,548,0.9201331676353435
ols_without_official_station_density_50km,ols_without_official_station_density_50km,intercept|need_composite_z|population_density_proxy|nearest_airport_km|coast_distance_km,0,0.2682459680407423,0.8554262282390327,0.7453622463896972,705,84,0.3843971631205674,202,503,0.8184245660881175,613,0.9629411404901989
ols_without_coast_distance_km,ols_without_coast_distance_km,intercept|need_composite_z|population_density_proxy|nearest_airport_km|official_station_density_50km,0,0.28131807165688627,0.8477511004670615,0.7384613340668187,714,86,0.3753501400560224,200,514,0.828,621,0.9697499983483318
ols_log_transformed_controls,ols_log_transformed_controls,intercept|need_composite_z|log1p_population_density_proxy|log1p_nearest_airport_km|log1p_official_station_density_50km|log1p_coast_distance_km,0,0.29497515063483604,0.8396575786385566,0.7322245773460053,694,85,0.3659942363112392,187,507,0.8061497326203209,603,0.9517084203527436
ols_quadratic_controls,ols_quadratic_controls,intercept|need_composite_z|need_composite_z_squared_z|population_density_proxy|population_density_proxy_squared_z|nearest_airport_km|nearest_airport_km_squared_z|official_station_density_50km|official_station_density_50km_squared_z|coast_distance_km|coast_distance_km_squared_z,0,0.3409266968662096,0.8118332976256828,0.702216368190376,703,87,0.35561877667140823,185,518,0.8133333333333334,610,0.949732862522665
ols_year_fixed_effects,ols_year_fixed_effects,intercept|need_composite_z|population_density_proxy|nearest_airport_km|official_station_density_50km|coast_distance_km|year_2016|year_2017|year_2018|year_2019|year_2020|year_2021|year_2022|year_2023|year_2024,0,0.28455501245227266,0.8458398119902653,0.7363982225606857,709,85,0.3723554301833568,192,517,0.8286479250334672,619,0.9713191740958442
ols_with_denominator_flag,ols_with_denominator_flag,intercept|need_composite_z|population_density_proxy|nearest_airport_km|official_station_density_50km|coast_distance_km|denominator_uncertainty_flag,0,0.428679811864614,0.7558572538088035,0.6170507529478787,679,80,0.41973490427098675,295,384,0.7062579821200511,553,0.8765172976548029
