specification,retained_2024,countries_2024,china_india_share_2024,denominator_certain_2024,denominator_uncertain_2024,jaccard_vs_primary_q75_2024,overlap_with_primary_count_2024,spearman_deficit_score_vs_primary_2024,need_quantile,residual_lower_quantile,panel_retained,panel_retained_share,event_n_events,event_n_matched_pairs,event_matched_gpm_estimate,event_matched_gpm_ci_low,event_matched_gpm_ci_high
need_q70_resid_q25,836,92,0.37320574162679426,224,612,0.7858851674641149,657,1.0,0.7,0.25,8605,0.07533706881456838,156,468,0.4021866068376068,0.20581314188948643,0.5985600717857272
need_q70_resid_q20,711,86,0.37834036568213786,175,536,0.7036114570361146,565,1.0,0.7,0.2,7399,0.06477849763614078,152,456,0.3880104780701754,0.18809927189484368,0.5879216842455072
need_q70_resid_q15,547,74,0.3711151736745887,119,428,0.5862977602108037,445,1.0,0.7,0.15,5886,0.05153213097531081,136,408,0.368080068627451,0.16072506312525203,0.57543507412965
need_q70_resid_q10,401,57,0.3690773067331671,77,324,0.4513031550068587,329,1.0,0.7,0.1,4272,0.037401505865872875,124,372,0.4008826182795699,0.17378053061134843,0.6279847059477913
need_q70_resid_q5,231,40,0.35064935064935066,31,200,0.256011315417256,181,1.0,0.7,0.05,2430,0.021274732971458588,106,318,0.5176537421383648,0.28151501960654524,0.7537924646701843
need_q75_resid_q25,657,81,0.3576864535768645,183,474,1.0,657,1.0,0.75,0.25,6696,0.05862370863246367,152,456,0.40646929605263155,0.20907323661290036,0.6038653554923628
need_q75_resid_q20,565,79,0.368141592920354,143,422,0.8599695585996956,565,1.0,0.75,0.2,5789,0.05068289266328139,148,444,0.392025777027027,0.1910015768652439,0.5930499771888101
need_q75_resid_q15,445,69,0.3775280898876405,98,347,0.6773211567732116,445,1.0,0.75,0.15,4728,0.0413938014358256,132,396,0.3719781186868687,0.16352834177976663,0.5804278955939708
need_q75_resid_q10,329,52,0.3890577507598784,65,264,0.5007610350076104,329,1.0,0.75,0.1,3474,0.030414988618455614,120,360,0.40626389166666665,0.1773148898586346,0.6352128934746987
need_q75_resid_q5,181,36,0.3756906077348066,28,153,0.2754946727549467,181,1.0,0.75,0.05,2006,0.017562598494134128,102,306,0.5285639117647059,0.29082335476678134,0.7663044687626304
need_q80_resid_q25,440,68,0.33181818181818185,131,309,0.669710806697108,440,1.0,0.8,0.25,4794,0.04197163368937139,130,390,0.4545797692307692,0.2294782282607781,0.6796813102007603
need_q80_resid_q20,383,66,0.34203655352480417,107,276,0.5829528158295282,383,1.0,0.8,0.2,4176,0.036561022587988094,126,378,0.4391416825396825,0.20891411404819257,0.6693692510311724
need_q80_resid_q15,311,59,0.3665594855305466,78,233,0.4733637747336377,311,1.0,0.8,0.15,3441,0.03012607249168272,110,330,0.4219377151515151,0.17906226070232312,0.6648131696007071
need_q80_resid_q10,235,48,0.3872340425531915,51,184,0.3576864535768645,235,1.0,0.8,0.1,2625,0.022981964629662056,102,306,0.4521278137254902,0.19056104051885803,0.7136945869321224
need_q80_resid_q5,125,31,0.384,22,103,0.1902587519025875,125,1.0,0.8,0.05,1557,0.013631588163193837,84,252,0.6104629642857143,0.33310904030981225,0.8878168882616164
need_q85_resid_q25,297,58,0.3063973063973064,92,205,0.4520547945205479,297,1.0,0.85,0.25,3071,0.026886709858168448,106,318,0.4876467389937107,0.21775147868838146,0.75754199929904
need_q85_resid_q20,263,56,0.30798479087452474,77,186,0.4003044140030441,263,1.0,0.85,0.2,2751,0.024085098931885835,102,306,0.46987290522875824,0.19191553148293372,0.7478302789745828
need_q85_resid_q15,216,51,0.3287037037037037,59,157,0.3287671232876712,216,1.0,0.85,0.15,2306,0.020189108737524077,92,276,0.4134440398550725,0.12980647707345594,0.6970816026366891
need_q85_resid_q10,167,42,0.3532934131736527,41,126,0.2541856925418569,167,1.0,0.85,0.1,1834,0.016056732621257223,84,252,0.4492945238095238,0.13906315944841752,0.75952588817063
need_q85_resid_q5,88,25,0.38636363636363635,18,70,0.1339421613394216,88,1.0,0.85,0.05,1083,0.009481701978637716,66,198,0.6500392727272726,0.30803635227054554,0.9920421931839996
need_q90_resid_q25,132,39,0.25757575757575757,37,95,0.2009132420091324,132,1.0,0.9,0.25,1377,0.012055682017159867,56,168,0.545648130952381,0.20684466546638836,0.8844515964383736
need_q90_resid_q20,119,37,0.25210084033613445,33,86,0.1811263318112633,119,1.0,0.9,0.2,1259,0.011022587988093153,54,162,0.49634772839506164,0.15181544091079419,0.840880015879329
need_q90_resid_q15,104,34,0.25961538461538464,27,77,0.1582952815829528,104,1.0,0.9,0.15,1121,0.009814393276133777,52,156,0.5132051217948719,0.1556491597665174,0.8707610838232264
need_q90_resid_q10,83,31,0.2891566265060241,20,63,0.1263318112633181,83,1.0,0.9,0.1,946,0.008282262300822973,48,144,0.5605246805555555,0.17411204610865227,0.9469373150024587
need_q90_resid_q5,43,17,0.37209302325581395,8,35,0.0654490106544901,43,1.0,0.9,0.05,608,0.005323060759936964,44,132,0.6141287727272727,0.19368391636061444,1.0345736290939311
need_q95_resid_q25,36,20,0.08333333333333333,10,26,0.0547945205479452,36,1.0,0.95,0.25,420,0.003677114340745929,32,96,0.18505786458333337,0.03740532253568113,0.3327104066309856
need_q95_resid_q20,32,19,0.03125,9,23,0.0487062404870624,32,1.0,0.95,0.2,386,0.0033794431798284015,30,90,0.07227778888888889,-0.003775732222302916,0.1483313100000807
need_q95_resid_q15,30,18,0.03333333333333333,9,21,0.045662100456621,30,1.0,0.95,0.15,346,0.003029241814043075,30,90,0.07227778888888889,-0.003775732222302916,0.1483313100000807
need_q95_resid_q10,28,17,0.03571428571428571,8,20,0.0426179604261796,28,1.0,0.95,0.1,290,0.0025389599019436174,30,90,0.07227778888888889,-0.003775732222302916,0.1483313100000807
need_q95_resid_q5,14,10,0.0,4,10,0.0213089802130898,14,1.0,0.95,0.05,212,0.0018560672386622307,28,84,0.0816005357142857,0.0007990699072663449,0.16240200152130507
