specification,conditional_event_stream,n_events,n_matched_pairs,matched_gpm_estimate,matched_gpm_ci_low,matched_gpm_ci_high,n_placebo_pairs,placebo_net_estimate,placebo_net_ci_low,placebo_net_ci_high,n_false_event_pairs,false_event_estimate,false_event_ci_low,false_event_ci_high
primary_q75_stored,current-selected-events-only,152,456,0.40646929605263155,0.20907323661290036,0.6038653554923628,287.0,0.21197639024390244,0.03690178250789358,0.38705099797991127,140.0,0.19171826428571428,-0.1629154419940149,0.5463519705654435
ols_legacy_controls,current-selected-events-only,165,495,0.30377441010101014,0.08737999646786679,0.5201688237341535,310.0,-0.019005370967741946,-0.315946984023785,0.2779362420883011,140.0,0.19171826428571428,-0.1629154419940149,0.5463519705654435
ridge_legacy_controls_alpha1,current-selected-events-only,165,495,0.30377441010101014,0.08737999646786679,0.5201688237341535,310.0,-0.019005370967741946,-0.315946984023785,0.2779362420883011,140.0,0.19171826428571428,-0.1629154419940149,0.5463519705654435
ridge_legacy_controls_alpha10,current-selected-events-only,165,495,0.30377441010101014,0.08737999646786679,0.5201688237341535,310.0,-0.019005370967741946,-0.315946984023785,0.2779362420883011,140.0,0.19171826428571428,-0.1629154419940149,0.5463519705654435
ols_need_only,current-selected-events-only,173,519,0.32489616184971104,0.12859414879930972,0.5211981749001123,318.0,0.0592155817610063,-0.21397019133502113,0.3324013548570337,164.0,0.20797085365853657,-0.09954642564081329,0.5154881329578864
ols_without_population_density_proxy,current-selected-events-only,177,531,0.29938689830508475,0.09719290142447634,0.5015808951856932,326.0,0.006985346625766875,-0.2770435057640074,0.29101419901554115,164.0,0.20797085365853657,-0.09954642564081329,0.5154881329578864
ols_without_nearest_airport_km,current-selected-events-only,174,522,0.28205086781609195,0.07768629928092013,0.4864154363512638,324.0,-0.007901234567901236,-0.29231334768362144,0.2765108785478189,164.0,0.20797085365853657,-0.09954642564081329,0.5154881329578864
ols_without_official_station_density_50km,current-selected-events-only,165,495,0.30377441010101014,0.08737999646786679,0.5201688237341535,310.0,-0.019005370967741946,-0.315946984023785,0.2779362420883011,140.0,0.19171826428571428,-0.1629154419940149,0.5463519705654435
ols_without_coast_distance_km,current-selected-events-only,167,501,0.3118019500998004,0.09762320951446074,0.5259806906851401,316.0,-0.00014943354430380998,-0.29308269347865734,0.29278382639004974,146.0,0.23823440410958902,-0.10651410293498687,0.5829829111541649
ols_log_transformed_controls,current-selected-events-only,173,519,0.30267394605009634,0.09586491296033356,0.5094829791398592,320.0,0.002362853124999997,-0.28692168920024563,0.29164739545024565,158.0,0.22737693670886075,-0.0912392661672273,0.5459931395849488
ols_quadratic_controls,current-selected-events-only,173,519,0.290542710982659,0.08407126804290782,0.49701415392241016,316.0,-0.016221863924050613,-0.3075375477414122,0.27509381989331094,152.0,0.1841045394736842,-0.1425491301082363,0.5107582090556047
ols_year_fixed_effects,current-selected-events-only,165,495,0.30377441010101014,0.08737999646786679,0.5201688237341535,310.0,-0.019005370967741946,-0.315946984023785,0.2779362420883011,140.0,0.19171826428571428,-0.1629154419940149,0.5463519705654435
ols_with_denominator_flag,current-selected-events-only,177,531,0.29938689830508475,0.09719290142447634,0.5015808951856932,326.0,0.006985346625766875,-0.2770435057640074,0.29101419901554115,164.0,0.20797085365853657,-0.09954642564081329,0.5154881329578864
denominator_certain_only,current-selected-events-only,173,519,0.3002119421965318,0.09345026598593922,0.5069736184071244,318.0,-0.0027900062893081857,-0.29374043411437634,0.28816042153575994,164.0,0.20797085365853657,-0.09954642564081329,0.5154881329578864
denominator_uncertain_only,current-selected-events-only,0,0,,,,0.0,,,,0.0,,,
residual_deficit_q90,current-selected-events-only,48,144,0.5605246805555555,0.17411204610865227,0.9469373150024587,94.0,0.2601300319148936,-0.08934027099572134,0.6096003348255086,42.0,0.6807142857142856,-0.16011182192116602,1.5215403933497371
residual_deficit_q95,current-selected-events-only,28,84,0.0816005357142857,0.0007990699072663449,0.16240200152130507,55.0,-0.012979763636363637,-0.06445106372647674,0.03849153645374946,18.0,-0.13129616666666669,-0.27121333045568485,0.008620997122351481
equal_weight_refit_ols,current-selected-events-only,167,501,0.300034375249501,0.0862132907401668,0.5138554597588353,,,,,,,,
demand_heavy_weight,current-selected-events-only,139,417,0.3784625659472422,0.1780202643679228,0.5789048675265617,,,,,,,,
hazard_heavy_weight,current-selected-events-only,120,360,0.0958240805555555,-0.1526901443328172,0.3443383054439283,,,,,,,,
urban_form_heavy_weight,current-selected-events-only,177,531,0.3777160338983051,0.1644678711856799,0.5909641966109302,,,,,,,,
dirichlet_jaccard_p05,current-selected-events-only,118,354,0.2650800395480226,0.091208713721189,0.4389513653748562,,,,,,,,
dirichlet_jaccard_median,current-selected-events-only,141,423,0.2601589290780142,0.1274194897936069,0.3928983683624214,,,,,,,,
dirichlet_jaccard_p95,current-selected-events-only,167,501,0.3340241716566866,0.1308944792342884,0.5371538640790848,,,,,,,,
