need_quantile,residual_quantile,retained_2024,share_pct
0.7,0.25,831,7.275433374190159
0.7,0.2,691,6.049728593941516
0.7,0.15,557,4.876554018560673
0.7,0.1,399,3.4932586237086323
0.7,0.05,209,1.8298021362283312
0.75,0.25,651,5.69952722815619
0.75,0.2,550,4.81526877954824
0.75,0.15,456,3.9922955699527227
0.75,0.1,328,2.8716511994396776
0.75,0.05,166,1.4533356680091052
0.8,0.25,450,3.939765365084924
0.8,0.2,382,3.3444230432498685
0.8,0.15,327,2.862896165295045
0.8,0.1,240,2.101208194711959
0.8,0.05,120,1.0506040973559796
0.85,0.25,308,2.6965505165470147
0.85,0.2,266,2.3288390824724217
0.85,0.15,227,1.9873927508317282
0.85,0.1,167,1.4620907021537384
0.85,0.05,78,0.6828926632813868
0.9,0.25,138,1.2081947119593766
0.9,0.2,122,1.068114165645246
0.9,0.15,109,0.9542987217650148
0.9,0.1,85,0.744177902293819
0.9,0.05,37,0.32393626335142706
0.95,0.25,41,0.3589563999299597
0.95,0.2,37,0.32393626335142706
0.95,0.15,34,0.2976711609175276
0.95,0.1,30,0.2626510243389949
0.95,0.05,13,0.11381544388023113
