file,rows
Fig1_panel_b_country_counts.csv,67
Fig1_panel_c_country_concentration.csv,67
Fig2_panel_a_need_support_deciles.csv,10
Fig2_panel_b_residual_distribution_summary.csv,6696
Fig2_panel_c_decision_plane_sample.csv,23678
Fig2_panel_d_annual_threshold_stability.csv,10
source_data_Figure_3_clean.csv,43
Fig4_panel_a_benchmark_overlap.csv,7
Fig4_panel_b_rank_correlation.csv,7
Fig4_panel_c_expected_support_model_performance.csv,3
Fig4_panel_d_denominator_threshold_sensitivity.csv,2
Supplementary_Figure_1_source.csv,10
Supplementary_Figure_2_corr.csv,10
Supplementary_Figure_2_proxy_assoc.csv,9
Supplementary_Figure_2_thresholds.csv,10
Supplementary_Figure_3_model_performance.csv,3
Supplementary_Figure_3_residual_by_year.csv,10
Supplementary_Figure_4_jaccard.csv,8
Supplementary_Figure_4_rank_assoc.csv,6
Supplementary_Figure_5_balance.csv,6
Supplementary_Figure_5_exact_match.csv,3
Supplementary_Figure_6_year_estimates.csv,5
Supplementary_Figure_6_country_estimates.csv,8
Supplementary_Figure_6_summary.csv,7
Supplementary_Figure_7_placebo_values.csv,665
Supplementary_Figure_7_false_event_values.csv,379
Supplementary_Figure_7_negative_controls.csv,5
Supplementary_Figure_8_country_concentration.csv,67
Supplementary_Figure_8_coastal_sensitivity.csv,4
Supplementary_Figure_8_denominator.csv,2
