draw,retained_2024,countries_2024,overlap_with_primary_count_2024,jaccard_vs_primary_q75_2024,w_demand,w_hazard,w_urban_form
0,733,98,464,0.5043478260869565,0.0068513539152011,0.4304034246520265,0.5627452214327723
1,581,92,390,0.46318289786223277,0.0141359446117065,0.6209871983091653,0.3648768570791281
2,701,80,498,0.5831381733021077,0.4758267760264057,0.1728315958433271,0.3513416281302671
3,698,80,492,0.574095682613769,0.4914302019441559,0.1786726239331644,0.3298971741226795
4,745,91,415,0.4230377166156983,0.2463180842056308,0.008733163323226,0.744948752471143
5,743,87,578,0.7083333333333334,0.3497473686224731,0.2650926706869105,0.3851599606906165
6,662,68,269,0.25766283524904215,0.9398024145218868,0.052252246753936,0.007945338724177
7,679,70,434,0.484375,0.5496157234591451,0.3716669808543055,0.0787172956865494
8,640,73,428,0.4959443800695249,0.459020855333918,0.4816381124707731,0.0593410321953088
9,634,75,371,0.4059080962800875,0.6986323677645594,0.0560046600279291,0.2453629722075114
10,751,91,543,0.6321303841676368,0.2849263112001152,0.2433308360843235,0.4717428527155614
11,717,86,453,0.49508196721311476,0.3750525978326161,0.0590704016966878,0.565877000470696
12,516,77,255,0.27960526315789475,0.0865766588183749,0.8930821830569776,0.0203411581246473
13,655,70,415,0.4657687991021324,0.5109360589990555,0.4732794618667704,0.015784479134174
14,692,68,319,0.3115234375,0.7671649085072366,0.227891395730347,0.0049436957624163
15,563,86,341,0.39060710194730813,0.1063851291737148,0.6745264497563529,0.2190884210699323
16,721,84,506,0.5842956120092379,0.4267014379946895,0.1559357588519694,0.417362803153341
17,741,91,560,0.6730769230769231,0.2815631565699343,0.2723102189307724,0.4461266244992932
18,623,75,372,0.4124168514412417,0.687457525029788,0.0348814131415935,0.2776610618286185
19,523,81,284,0.31910112359550563,0.1439359085417205,0.8104106670064636,0.0456534244518158
20,680,80,459,0.5263761467889908,0.4978748410568134,0.1008826702878467,0.4012424886553397
21,718,88,449,0.4880434782608696,0.3616584627430749,0.0501738539383333,0.5881676833185916
22,645,71,366,0.3935483870967742,0.7162317270217957,0.0819717555469061,0.2017965174312981
23,622,88,469,0.5833333333333334,0.156910329149496,0.526352263777899,0.3167374070726049
24,768,99,466,0.48898216159496327,0.028645941612022,0.3310646890497831,0.6402893693381946
25,635,72,343,0.3637327677624602,0.7618214807675552,0.0704428010380422,0.1677357181944025
26,644,77,461,0.552757793764988,0.367450472058624,0.4861590137940559,0.1463905141473201
27,682,86,556,0.7155727155727156,0.2820068546157384,0.4176318740810025,0.300361271303259
28,682,97,451,0.5113378684807256,0.0056735769308348,0.4814351598266875,0.5128912632424777
29,742,85,528,0.6104046242774567,0.3440753992729071,0.1972439145528068,0.4586806861742862
30,726,98,481,0.5368303571428571,0.0547090316931134,0.4115631674256677,0.5337278008812189
31,768,96,413,0.4105367793240557,0.0100771749083613,0.1288093610690508,0.8611134640225879
32,614,70,327,0.3486140724946695,0.7903541483919198,0.008858918147559,0.2007869334605211
33,614,79,415,0.48823529411764705,0.3416752006836225,0.5432649954344222,0.1150598038819553
34,605,70,374,0.42403628117913833,0.4150997640890902,0.5826231725047215,0.0022770634061882
35,705,93,496,0.5767441860465117,0.1007212267751358,0.4296713658636935,0.4696074073611706
36,757,89,455,0.4774396642182581,0.291143692430039,0.0698758510060152,0.6389804565639458
37,723,96,485,0.545556805399325,0.0662297655079289,0.4113315770240458,0.5224386574680252
38,700,85,453,0.5044543429844098,0.4531089007100659,0.0672374709207717,0.4796536283691625
39,601,74,386,0.4457274826789838,0.3728939291983925,0.5695367417519058,0.0575693290497018
40,699,83,460,0.5168539325842697,0.4298362693695834,0.0757317444119087,0.4944319862185076
41,681,70,372,0.3875,0.6759205972794771,0.2195547287116405,0.1045246740088824
42,754,97,385,0.37745098039215685,0.0435053231105367,0.009115559299095,0.9473791175903682
43,694,72,406,0.4323748668796592,0.6435724008539211,0.2277900502131089,0.1286375489329701
44,643,79,457,0.5459976105137395,0.3529298168911097,0.4932147603099977,0.1538554227988926
45,752,96,496,0.5468577728776185,0.1265640928408005,0.3099762041023057,0.5634597030568939
46,766,93,458,0.47758081334723673,0.2670970350998017,0.0849709875133396,0.6479319773868587
47,656,68,283,0.2763671875,0.9105849407986416,0.0535126321013445,0.0359024271000139
48,754,95,430,0.441025641025641,0.1580413155313316,0.0845378750444819,0.7574208094241865
49,628,68,269,0.26633663366336635,0.9358476753980196,0.0020889423163365,0.0620633822856437
50,708,86,580,0.7445442875481386,0.3594619172485887,0.3639120478357784,0.2766260349156329
51,652,86,509,0.6410579345088161,0.210004404710868,0.4806482235682317,0.3093473717209001
52,694,80,479,0.5531177829099307,0.5005301697156124,0.1407127776463316,0.3587570526380561
53,760,96,497,0.5437636761487965,0.1853313454983442,0.2277346943797824,0.5869339601218735
54,560,83,336,0.384,0.1224244629115992,0.6873905249718079,0.1901850121165929
55,646,78,417,0.4738636363636364,0.574783259664803,0.0282654306639897,0.3969513096712073
56,625,80,441,0.5281437125748503,0.2782176873431302,0.525603458121815,0.1961788545350548
57,769,96,430,0.43434343434343436,0.0542761369031137,0.1532788578682095,0.7924450052286766
58,776,98,450,0.46059365404298874,0.0439960134863241,0.2091666177902313,0.7468373687234444
59,510,79,267,0.2986577181208054,0.0493281446411518,0.8279475640009323,0.1227242913579158
60,742,85,579,0.7113022113022113,0.3744935683300304,0.2606393529078115,0.3648670787621583
61,681,70,356,0.36475409836065575,0.718360049051911,0.2051418459852676,0.0764981049628214
62,734,90,581,0.722636815920398,0.2867790559884229,0.3112995868964431,0.4019213571151339
63,686,72,424,0.4644030668127054,0.5767970367866097,0.3412973262940926,0.0819056369192978
64,507,79,242,0.26419213973799127,0.0287870575329567,0.9570975742994544,0.014115368167589
65,629,71,335,0.3544973544973545,0.7846039398898266,0.0416219942231154,0.1737740658870578
66,718,80,532,0.6356033452807647,0.4695508364196112,0.2560175675592565,0.2744315960211322
67,517,79,261,0.28776185226019846,0.1056867654737173,0.8612527599261312,0.0330604746001515
