specification,family,outcome,estimate,ci_low,ci_high,p_value,n_rows,n_clusters,cluster_variable,interval_method,interpretation
canonical_main_event_date_cluster,canonical_main_gpm,paired_gpm_precip_diff_high_minus_control,0.4062914210526314,0.07967604270644862,0.7329067993988141,0.015110927558224166,456,152,event_id,small-sample corrected cluster-robust t interval,Exactly canonical-q75-aligned selected-event subset; existing matched controls retained.
canonical_main_component_cluster,canonical_main_gpm,paired_gpm_precip_diff_high_minus_control,0.4062914210526314,-0.03056808320999216,0.8431509253152549,0.06669049228072568,456,22,event_component_id,small-sample corrected cluster-robust t interval,Exactly canonical-q75-aligned selected-event subset; existing matched controls retained.
canonical_main_country_cluster,canonical_main_gpm,paired_gpm_precip_diff_high_minus_control,0.4062914210526314,-0.04992444368652632,0.862507285791789,0.07579791157622393,456,12,event_country,small-sample corrected cluster-robust t interval,Exactly canonical-q75-aligned selected-event subset; existing matched controls retained.
canonical_main_adjusted_event,canonical_adjusted_main_gpm,paired_gpm_precip_diff_high_minus_control,0.5751785750488774,0.1888670962188731,0.9614900538788816,0.0037836095259287388,152,152,event_id (one row per event),"event-level OLS adjustment for population density, nearest-airport distance and coast distance; conventional t interval",Event-level adjustment for available residual imbalance; station-density adjustment unavailable.
canonical_main_adjusted_component_cluster,canonical_adjusted_main_gpm,paired_gpm_precip_diff_high_minus_control,0.5751785750488774,0.01558267452610429,1.1347744755716505,0.0444757230526545,152,22,event_component_id,"event-level OLS adjustment for population density, nearest-airport distance and coast distance; small-sample corrected cluster-robust t interval",Event-level adjustment for available residual imbalance; station-density adjustment unavailable.
canonical_main_adjusted_country_cluster,canonical_adjusted_main_gpm,paired_gpm_precip_diff_high_minus_control,0.5751785750488774,0.2556989832994729,0.8946581667982818,0.0022242454175393288,152,12,event_country,"event-level OLS adjustment for population density, nearest-airport distance and coast distance; small-sample corrected cluster-robust t interval",Event-level adjustment for available residual imbalance; station-density adjustment unavailable.
canonical_placebo_event_date_cluster,canonical_placebo,observed_minus_placebo_diff,0.21066589895470372,-0.0016741137172764098,0.4230059116266839,0.05180408645565411,287,119,match_id,small-sample corrected cluster-robust t interval,Canonical-q75-aligned eligible subset; higher-level clustering is a dependence sensitivity.
canonical_placebo_component_cluster,canonical_placebo,observed_minus_placebo_diff,0.21066589895470372,-0.05411674676934308,0.47544854467875053,0.11191046335493172,287,19,event_component_id,small-sample corrected cluster-robust t interval,Canonical-q75-aligned eligible subset; higher-level clustering is a dependence sensitivity.
canonical_placebo_country_cluster,canonical_placebo,observed_minus_placebo_diff,0.21066589895470372,-0.17292817084333212,0.5942599687527396,0.24912618758884011,287,11,event_country,small-sample corrected cluster-robust t interval,Canonical-q75-aligned eligible subset; higher-level clustering is a dependence sensitivity.
canonical_false_event_date_cluster,canonical_false,observed_minus_false_event_diff,0.19171826428571426,-0.39218183239065285,0.7756183609620814,0.5121341584133333,140,48,match_id,small-sample corrected cluster-robust t interval,Canonical-q75-aligned eligible subset; higher-level clustering is a dependence sensitivity.
canonical_false_component_cluster,canonical_false,observed_minus_false_event_diff,0.19171826428571426,-0.5026923761128996,0.8861289046843281,0.5631923576196298,140,15,event_component_id,small-sample corrected cluster-robust t interval,Canonical-q75-aligned eligible subset; higher-level clustering is a dependence sensitivity.
canonical_false_country_cluster,canonical_false,observed_minus_false_event_diff,0.19171826428571426,-0.21826193523867798,0.6016984638101065,0.2961087761934116,140,7,event_country,small-sample corrected cluster-robust t interval,Canonical-q75-aligned eligible subset; higher-level clustering is a dependence sensitivity.
