match_id,event_component_id,event_date_utc,event_city_name,event_year,dominant_hazard,control_component_id,control_city_name,placebo_source_event_component_id,placebo_date_utc,placebo_source_event_year,placebo_source_rule,placebo_year_distance,placebo_month_distance,event_gpm_event_subset_precip_mm_est,control_gpm_event_subset_precip_mm_est,placebo_event_gpm_event_subset_precip_mm_est,observed_diff,placebo_diff,observed_minus_placebo_diff,placebo_status,event_country
4942|2020-01-21|Celaya,4942,2020-01-21,Celaya,2020,low_ceiling_1000m,6696,Matamoros,4942.0,2022-12-26,2022.0,same_control_component_hazard_cross_year_month_window,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,México
4942|2020-01-21|Celaya,4942,2020-01-21,Celaya,2020,low_ceiling_1000m,4288,San Francisco del Rincón,4942.0,2022-12-26,2022.0,same_control_component_hazard_cross_year_month_window,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,México
4942|2020-01-21|Celaya,4942,2020-01-21,Celaya,2020,low_ceiling_1000m,4134,Chihuahua,4942.0,2022-12-26,2022.0,same_control_component_hazard_cross_year_month_window,2.0,1.0,0.0,0.051111,0.0,-0.051111,-0.051111,0.0,ok_control_day,México
4942|2020-08-29|Celaya,4942,2020-08-29,Celaya,2020,low_ceiling_1000m,6696,Matamoros,4942.0,2021-09-02,2021.0,same_control_component_hazard_cross_year_month_window,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,México
4942|2020-08-29|Celaya,4942,2020-08-29,Celaya,2020,low_ceiling_1000m,4288,San Francisco del Rincón,4942.0,2021-09-02,2021.0,same_control_component_hazard_cross_year_month_window,1.0,1.0,0.0,0.0,0.26,0.0,0.26,-0.26,ok_control_day,México
4942|2020-08-29|Celaya,4942,2020-08-29,Celaya,2020,low_ceiling_1000m,4134,Chihuahua,4942.0,2021-09-02,2021.0,same_control_component_hazard_cross_year_month_window,1.0,1.0,0.0,0.0,0.086111,0.0,0.086111,-0.086111,ok_control_day,México
4379|2020-07-08|Karadeniz Ereğli,4379,2020-07-08,Karadeniz Ereğli,2020,low_ceiling_1000m,3459,Yalova,4379.0,2020-06-15,2020.0,same_control_component_hazard_same_year_month_window,0.0,1.0,0.405556,0.0,0.0,0.405556,0.0,0.405556,ok_control_day,Turkey
4379|2020-07-08|Karadeniz Ereğli,4379,2020-07-08,Karadeniz Ereğli,2020,low_ceiling_1000m,4341,Düzce,4379.0,2020-06-15,2020.0,same_control_component_hazard_same_year_month_window,0.0,1.0,0.405556,0.0,1.791111,0.405556,1.791111,-1.385555,ok_control_day,Turkey
4379|2020-07-08|Karadeniz Ereğli,4379,2020-07-08,Karadeniz Ereğli,2020,low_ceiling_1000m,858,Tekirdağ,4379.0,2020-06-15,2020.0,same_control_component_hazard_same_year_month_window,0.0,1.0,0.405556,0.0,1.52,0.405556,1.52,-1.114444,ok_control_day,Turkey
4379|2020-06-15|Karadeniz Ereğli,4379,2020-06-15,Karadeniz Ereğli,2020,low_ceiling_1000m,3459,Yalova,4379.0,2020-07-08,2020.0,same_control_component_hazard_same_year_month_window,0.0,1.0,0.254444,0.0,0.0,0.254444,0.0,0.254444,ok_control_day,Turkey
