event_id,component_id,country,city_name,centroid_lat,centroid_lon,event_date_utc,event_year,dominant_hazard,severity_score,observability_gap_score_v2,support_residual_z,demand_proxy,need_composite_z,public_hourly_surface_observation_support,denominator_uncertainty_flag,gpm_event_subset_precip_mm_est,era5_tp_sum_mm,era5_wind10_mean_ms,era5_wind10_max_ms,era5_tcc_mean,era5_2t_mean_c,era5_sp_mean,year,canonical_2024_q75
4942|2020-01-21|Celaya,4942,México,Celaya,20.531576,-100.820914,2020-01-21,2020,low_ceiling_1000m,1.4703,0.4309489847569435,-1.738149598762155,0.7440028016109262,0.5999072420262046,0.1801494192494017,False,0.0,0.030518,2.2798,4.370203,0.264188,12.766575,81274.526042,2020,True
4942|2020-08-29|Celaya,4942,México,Celaya,20.531576,-100.820914,2020-08-29,2020,low_ceiling_1000m,1.3858,0.4309489847569435,-1.738149598762155,0.7440028016109262,0.5999072420262046,0.1801494192494017,False,0.0,21.10815,0.979616,1.84903,0.72441,20.233657,80801.864583,2020,True
4379|2020-07-08|Karadeniz Ereğli,4379,Turkey,Karadeniz Ereğli,41.265007,31.422627,2020-07-08,2020,low_ceiling_1000m,2.7792,0.4255751700217459,-1.7718929630194131,0.6138738107745287,1.314925894028547,0.2020953715052822,False,0.405556,11.147499,4.053965,6.103392,0.785475,21.651208,98424.010417,2020,True
4379|2020-06-15|Karadeniz Ereğli,4379,Turkey,Karadeniz Ereğli,41.265007,31.422627,2020-06-15,2020,low_ceiling_1000m,2.5187,0.4255751700217459,-1.7718929630194131,0.6138738107745287,1.314925894028547,0.2020953715052822,False,0.254444,20.33329,2.432834,3.589861,0.871474,19.212376,97954.705729,2020,True
175|2020-04-23|Điện Biên Phủ,175,Vietnam,Điện Biên Phủ,21.388702,103.018583,2020-04-23,2020,thunder_or_convective,0.2077,0.4223236990129126,-1.880740802883767,0.6040389890853908,0.775684414281278,0.165440961886418,False,0.0,39.526939,1.611963,2.32794,0.952412,21.437189,91271.354167,2020,True
175|2020-08-15|Điện Biên Phủ,175,Vietnam,Điện Biên Phủ,21.388702,103.018583,2020-08-15,2020,thunder_or_convective,0.1858,0.4223236990129126,-1.880740802883767,0.6040389890853908,0.775684414281278,0.165440961886418,False,0.826111,23.063183,1.426492,2.020493,0.999738,22.452458,90720.565104,2020,True
10954|2020-09-01|Giridih,10954,India,Giridih,24.171116,86.306248,2020-09-01,2020,thunder_or_convective,0.0426,0.4166104714056073,-1.6309305763459825,0.7874861378626044,0.8047432120449503,0.219547072900251,False,2.820556,24.004459,1.910897,3.318696,0.997467,27.861515,96931.408854,2020,True
10954|2020-12-10|Giridih,10954,India,Giridih,24.171116,86.306248,2020-12-10,2020,low_vis_1km,0.0426,0.4166104714056073,-1.6309305763459825,0.7874861378626044,0.8047432120449503,0.219547072900251,False,0.0,0.0,2.049826,2.848696,0.055185,16.871556,97738.828125,2020,True
7672|2020-12-27|Zigong,7672,China,Zigong,29.352113,104.76754,2020-12-27,2020,fog,1.1557,0.3981712854211544,-1.363662247963734,0.549786960835814,1.253288234954644,0.2428938306192727,False,0.0,0.181198,1.350537,1.994131,0.849901,8.440597,97769.296875,2020,True
7672|2020-12-26|Zigong,7672,China,Zigong,29.352113,104.76754,2020-12-26,2020,fog,1.0428,0.3981712854211544,-1.363662247963734,0.549786960835814,1.253288234954644,0.2428938306192727,False,0.0,0.034809,0.967014,1.784694,0.7702,7.288019,98003.424479,2020,True
10936|2020-09-01|Phusro,10936,India,Phusro,23.772954,85.992166,2020-09-01,2020,thunder_or_convective,0.0612,0.3824528524686358,-1.2919424438407028,0.5460514796007705,1.07225764311402,0.2201015583960777,False,2.41,15.928745,1.565054,2.355677,0.998479,27.618433,97405.617188,2020,True
10936|2020-12-10|Phusro,10936,India,Phusro,23.772954,85.992166,2020-12-10,2020,low_vis_1km,0.0612,0.3824528524686358,-1.2919424438407028,0.5460514796007705,1.07225764311402,0.2201015583960777,False,0.0,0.0,1.830015,2.452825,0.215389,17.685927,98211.786458,2020,True
4263|2020-01-19|Rzeszów,4263,Poland,Rzeszów,50.030827,22.002133,2020-01-19,2020,fog,61.4133,0.3689108206292736,-1.531082323980756,0.7941399638125256,2.118412337362868,0.3743360765773653,False,0.0,0.210762,0.923881,1.550304,0.932131,-0.724148,99738.455729,2020,True
4263|2020-11-09|Rzeszów,4263,Poland,Rzeszów,50.030827,22.002133,2020-11-09,2020,fog,58.8199,0.3689108206292736,-1.531082323980756,0.7941399638125256,2.118412337362868,0.3743360765773653,False,0.0,0.166416,1.837908,2.982595,0.997334,4.471704,99671.252604,2020,True
3944|2020-01-29|Belgorod,3944,Russia,Belgorod,50.591021,36.590908,2020-01-29,2020,low_vis_5km,1.0004,0.3670772721665411,-0.8943541701143374,0.8602842467752292,1.2941055866837732,0.4127414930251561,False,0.0,1.712799,3.515343,6.536808,1.0,2.293481,98372.864583,2020,True
3944|2020-11-04|Belgorod,3944,Russia,Belgorod,50.591021,36.590908,2020-11-04,2020,fog,0.8439,0.3670772721665411,-0.8943541701143374,0.8602842467752292,1.2941055866837732,0.4127414930251561,False,0.0,0.177383,1.954708,2.82057,0.980136,7.947483,100767.947917,2020,True
6403|2020-02-01|Nizhnekamsk,6403,Russia,Nizhnekamsk,55.626131,51.811607,2020-02-01,2020,low_ceiling_300m,14.662,0.365789172541643,-0.9088445071844824,0.6662726901301581,0.8580335880244534,0.321980972392459,False,0.0,0.827789,2.753151,5.053281,0.981415,-1.454688,99508.200521,2020,True
6403|2020-01-21|Nizhnekamsk,6403,Russia,Nizhnekamsk,55.626131,51.811607,2020-01-21,2020,low_ceiling_1000m,14.5008,0.365789172541643,-0.9088445071844824,0.6662726901301581,0.8580335880244534,0.321980972392459,False,0.0,4.012108,4.461378,6.978686,0.941868,-0.771104,98873.359375,2020,True
10210|2020-01-03|Neyveli Township,10210,India,Neyveli Township,11.605937,79.482999,2020-01-03,2020,low_vis_5km,0.4588,0.3645027764531431,-1.4685170970731227,0.4568084982198097,1.463399008460483,0.2604038989085391,False,0.0,1.159191,1.946528,2.771611,0.225332,27.03336,100869.755208,2020,True
10210|2020-11-25|Neyveli Township,10210,India,Neyveli Township,11.605937,79.482999,2020-11-25,2020,low_vis_5km,0.4522,0.3645027764531431,-1.4685170970731227,0.4568084982198097,1.463399008460483,0.2604038989085391,False,11.467222,82.733154,7.300008,8.670253,1.0,23.627934,100031.799479,2020,True
56|2020-02-09|Brest,56,France,Brest,48.395742,-4.48925,2020-02-09,2020,strong_wind,72.9702,0.3603284359301841,-1.9500134133157547,0.5996906554602229,2.785575895212576,0.3825658086733205,False,0.490556,6.49929,14.175607,16.166429,0.971372,12.03692,100031.778646,2020,True
56|2020-11-01|Brest,56,France,Brest,48.395742,-4.48925,2020-11-01,2020,low_vis_5km,70.3797,0.3603284359301841,-1.9500134133157547,0.5996906554602229,2.785575895212576,0.3825658086733205,False,0.063333,5.693913,10.862096,13.109412,0.988426,15.435734,100217.083333,2020,True
1031|2020-09-28|Hamilton,1031,New Zealand,Hamilton,-37.772002,175.269028,2020-09-28,2020,strong_wind,0.3611,0.3499105974302273,-1.5522759239012762,0.8157503064261951,0.994779839808937,0.3656102258798809,False,1.28,7.975101,8.950528,11.377576,0.612415,12.839543,99988.8125,2020,True
1031|2020-09-18|Hamilton,1031,New Zealand,Hamilton,-37.772002,175.269028,2020-09-18,2020,strong_wind,0.3461,0.3499105974302273,-1.5522759239012762,0.8157503064261951,0.994779839808937,0.3656102258798809,False,0.196111,3.254414,6.074218,9.805108,0.540057,11.899611,101127.460938,2020,True
4339|2020-01-19|Lublin,4339,Poland,Lublin,51.239794,22.554886,2020-01-19,2020,low_ceiling_1000m,61.3205,0.3481865010596157,-1.454187974412117,0.6876787486137864,2.0968511738881044,0.3737815910815385,False,0.0,0.42963,1.070662,1.60854,0.97928,1.320693,100602.289062,2020,True
4339|2020-12-17|Lublin,4339,Poland,Lublin,51.239794,22.554886,2020-12-17,2020,low_ceiling_1000m,52.5693,0.3481865010596157,-1.454187974412117,0.6876787486137864,2.0968511738881044,0.3737815910815385,False,0.0,0.148296,1.83022,2.839451,0.967317,2.994867,100170.046875,2020,True
2044|2020-12-05|Vinnytsia,2044,Ukraine,Vinnytsia,49.233728,28.479445,2020-12-05,2020,fog,32.2152,0.3468699569142932,-0.9917415265649874,0.7016868032451994,1.2838129997856524,0.3751532130975311,False,0.0,0.162601,5.008766,5.413407,1.0,-0.329901,99274.666667,2020,True
2044|2020-11-18|Vinnytsia,2044,Ukraine,Vinnytsia,49.233728,28.479445,2020-11-18,2020,low_ceiling_300m,31.644,0.3468699569142932,-0.9917415265649874,0.7016868032451994,1.2838129997856524,0.3751532130975311,False,0.0,0.22459,2.40326,2.863542,0.999667,0.765263,100062.841146,2020,True
6023|2020-01-03|Ciudad Valles,6023,México,Ciudad Valles,21.997964,-99.011314,2020-01-03,2020,fog,0.2042,0.2983611241975308,-1.0830362747719249,0.6551975719371972,0.6464485092583208,0.3065721122979046,False,0.0,0.0,1.596906,3.173415,0.830738,22.311029,99066.255208,2020,True
