year,rows,q75,q90,q95,q75_share,q90_share,q95_share
2015,11422,675,101,21,0.05909648047627386,0.008842584486079495,0.0018385571703729644
2016,11422,669,102,23,0.05857117842759587,0.008930134827525827,0.0020136578532656277
2017,11422,676,98,23,0.05918403081772019,0.008579933461740501,0.0020136578532656277
2018,11422,667,98,23,0.058396077744703206,0.008579933461740501,0.0020136578532656277
2019,11422,653,98,23,0.05717037296445456,0.008579933461740501,0.0020136578532656277
2020,11422,662,101,22,0.057958326037471544,0.008842584486079495,0.0019261075118192962
2021,11422,681,104,25,0.059621782524951844,0.00910523551041849,0.0021887585361582912
2022,11422,657,96,20,0.05752057433023989,0.008404832778847838,0.001751006828926633
2023,11422,672,101,22,0.05883382945193486,0.008842584486079495,0.0019261075118192962
2024,11422,651,85,13,0.0569952722815619,0.0074417790229381895,0.0011381544388023113
