component_id,country,city_name,centroid_lat,centroid_lon,need_composite_z,support_residual_z,residual_public_support_gap_z,canonical_2024_q75,denominator_uncertainty_flag,available_field_expected_support_z,available_field_support_residual_z,available_field_q75,within_between_expected_support_z,within_between_support_residual_z,within_between_q75,country_fe_expected_support_z,country_fe_support_residual_z,country_fe_q75,need_no_hazard_z,no_hazard_support_residual_z,no_hazard_q75,dirichlet_selection_count,dirichlet_selection_frequency,weight_stability_class,model_core_primary_available_country_fe,graded_core_primary_available_within_between_frequency
12,Costa Rica,Liberia,10.632887471000874,-85.4373721235411,0.7079206897747243,-1.0582073725081682,1.0582073725081682,True,True,0.4566796290299533,-1.103129305508277,True,0.6316441628338183,-1.2780938393121422,True,0.4081347941107872,-1.054584470589111,True,0.4577908459765211,-1.0175450938710595,False,590,0.59,0.50-<0.80,True,True
36,Uruguay,Salto,-31.390500738396877,-57.96140756973467,0.746592558124313,-0.9749543820255616,0.9749543820255616,True,True,0.4750573349402852,-0.8856763323042757,True,0.5219672291531777,-0.9325862265171683,True,0.4579858547668577,-0.8686048521308483,True,0.21627953076075265,-0.7047402609885365,False,496,0.496,0.20-<0.50,True,False
44,Portugal,Funchal,32.654492299912235,-16.932136689975785,0.7642829724420682,-0.7412531807714393,0.7412531807714393,True,True,0.6067190860168368,-0.9366865969875824,True,1.0099722281760273,-1.339939739146773,True,1.0994272258301379,-1.4293947368008835,True,0.9703916285648571,-1.0148848412573739,True,553,0.553,0.50-<0.80,True,True
53,Ireland,Galway,53.27392758346856,-9.047940757636647,1.2346294279166543,-1.1788151418299426,1.1788151418299426,True,False,0.6492325922949874,-0.8621968160587324,True,1.0628671006176629,-1.275831324381408,True,0.6957576472657824,-0.9087218710295274,True,0.4995921822074785,-0.6476389885458302,False,673,0.673,0.50-<0.80,True,True
56,France,Brest,48.3957423523628,-4.489250134306428,2.553671841832088,-1.7138787678168583,1.7138787678168583,True,False,1.0758408649352644,-1.5965576102835706,True,1.084654350562263,-1.6053710959105691,True,1.3202728131982042,-1.8409895585465104,True,2.1556527696409042,-1.709217651189407,True,1000,1.0,>=0.80,True,True
93,Finland,Turku,60.45260939364871,22.26715760041768,2.0398822967696475,-1.3187943451681683,1.3187943451681683,True,True,0.9033107071938105,-1.2847440293524908,True,0.9223793400352721,-1.3038126621939523,True,0.8304729897345882,-1.2119063118932685,True,1.5329759423147848,-1.2856571443184628,True,995,0.995,>=0.80,True,True
94,Russia,Kaliningrad,54.7130563748016,20.510887574197152,1.8518229251602936,-1.387427978201513,1.387427978201513,True,False,0.7515330033794057,-1.321761162022434,True,0.6160012639976491,-1.1862294226406775,True,0.25394804634105017,-0.8241762049840785,True,1.296866996814483,-1.2897941964887845,True,982,0.982,>=0.80,True,True
95,Lithuania,Klaipėda,55.69113472867033,21.15306403440497,1.224382322788531,-1.2929192136564127,1.2929192136564127,True,True,0.6732327034289424,-1.1436562763252416,True,0.9639185933853297,-1.434342166281629,True,0.41884577282841295,-0.8892693457247122,True,0.5091139711487133,-0.9365158803976572,False,826,0.826,>=0.80,True,True
175,Vietnam,Điện Biên Phủ,21.388702199601525,103.01858333035872,0.695678410223623,-1.806098428271044,1.806098428271044,True,False,0.4806084633383664,-1.9707065637201762,True,0.3269309843091698,-1.8170290846909793,True,0.2585939069424679,-1.7486920073242775,True,0.884258453157068,-2.0909562221224465,True,572,0.572,0.50-<0.80,True,True
187,New Zealand,Dunedin,-45.8850043050232,170.50683357049058,0.73771315401992,-1.293891753003735,1.293891753003735,True,True,0.640065494123275,-1.488469619566912,True,0.7281297259893671,-1.576533851433004,True,0.5757680484124993,-1.4241721738561364,True,0.9370331643941945,-1.5505026239483675,True,522,0.522,0.50-<0.80,True,True
206,Jamaica,Mandeville,18.04036573034832,-77.51089377425394,0.685026419641175,-4.522037667156317,4.522037667156317,True,True,4.0782406090536325,-5.0648858121438485,True,2.249783619949389,-3.236428823039605,True,0.541729342191366,-1.528374545281582,True,0.8708848560723907,-4.754692715821648,True,528,0.528,0.50-<0.80,True,True
209,Dominican Republic,San Juan de la Maguana,18.80892589060461,-71.23266621480859,0.6258315228698446,-0.9936758255369598,0.9936758255369598,True,True,0.44782646991597214,-1.1525172036120344,True,0.4714787540843557,-1.176169487780418,True,0.5549561541881731,-1.2596468878842355,True,0.7965655358700956,-1.2256420720739651,True,426,0.426,0.20-<0.50,True,False
223,Spain,La Orotava,28.401858183919217,-16.540613895513868,1.0240289089572494,-0.9619456737942578,0.9619456737942578,True,True,0.6217895372830715,-1.215600763837533,True,0.6880340323547064,-1.2818452589091678,True,0.5689868234793872,-1.1627980500338486,True,1.2965032104751815,-1.376430338596724,True,705,0.705,0.50-<0.80,True,True
233,Ireland,Cork,51.89080904065316,-8.458721063560953,1.786935649316199,-1.5064129860522857,1.5064129860522857,True,True,0.8185865373090718,-1.2695964244661246,True,1.0914956505148692,-1.542505537671922,True,0.724386197162989,-1.1753960843200417,True,1.1930138309769218,-1.1934582223719123,True,1000,1.0,>=0.80,True,True
236,France,Lorient,47.75055844467055,-3.36473497357637,2.003963679121099,-1.5689820788647395,1.5689820788647395,True,False,0.9222255120685905,-1.3622907710236523,True,1.0448662709168293,-1.484931529871891,True,1.2804847335527696,-1.7205499925078314,True,1.465492989142388,-1.3324053859174765,True,1000,1.0,>=0.80,True,True
255,Equatorial Guinea,Bata,1.8446642731535816,9.786110345784165,0.8189815371041432,-0.8477738441234783,0.8477738441234783,True,False,0.4007730311618304,-0.8691119129720357,True,0.5286850873870235,-0.9970239691972289,True,0.2197453580035712,-0.6880842398137765,True,0.3993574113573631,-0.7500639220306192,False,523,0.523,0.50-<0.80,True,True
269,Finland,Oulu,65.01529370897302,25.47973948824652,1.3429150040315605,-0.8342312108829305,0.8342312108829305,True,True,0.7861394763470597,-1.131872463656388,True,0.9568698928494217,-1.30260288015875,True,0.8649635425487388,-1.210696529858067,True,1.0387054303070564,-1.0931887722460631,True,1000,1.0,>=0.80,True,True
277,Kosovo,Gjakova,42.38241803305773,20.428379701990263,0.6040230054743504,-1.36548390345425,1.36548390345425,True,True,0.49465936475414807,-1.5229983895662351,True,0.8544319444777382,-1.8827709692898251,True,-0.40711127273004627,-0.6212277520820406,True,0.7691848953781582,-1.5867122071441595,True,421,0.421,0.20-<0.50,True,False
278,Russia,Murmansk,68.9598547957542,33.08450703573772,0.7699924537408952,-0.8032599658037486,0.8032599658037486,True,True,0.4428590452877235,-1.0030546280789263,True,0.6769333372445677,-1.2371289200357705,True,0.31488011958796486,-0.8750757023791678,True,0.31939993627686547,-0.8526492881067336,False,552,0.552,0.50-<0.80,True,True
