ref_no,reference,doi,doi_syntax_status,verification_note
1,"Pak, H. et al. Can Urban Air Mobility become reality? Opportunities and challenges of UAM as innovative mode of transport and DLR contribution to ongoing research. CEAS Aeronaut. J. 16, 665–695 (2025). https://doi.org/10.1007/s13272-024-00733-x.",10.1007/s13272-024-00733-x,valid,Reference corrected with publisher-page volume/page/article-number information where available; DOI syntax valid.
2,"Nithya, D. S., Quaranta, G., Muscarello, V. & Liang, M. Review of wind flow modelling in urban environments to support the development of urban air mobility. Drones 8, 147 (2024). https://doi.org/10.3390/drones8040147.",10.3390/drones8040147,valid,Reference corrected with publisher-page volume/page/article-number information where available; DOI syntax valid.
3,"Gultepe, I. A review on weather impact on aviation operations and safety. Aerospace 10, 491 (2023). https://doi.org/10.3390/aerospace10060491.",10.3390/aerospace10060491,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
4,"Fenner, D. et al. urbisphere-Berlin Campaign: investigating multiscale urban impacts on the atmospheric boundary layer. Bull. Am. Meteorol. Soc. (2024). https://doi.org/10.1175/bams-d-23-0030.1.",10.1175/bams-d-23-0030.1,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
5,"Chapman, L., Bell, S. J. & Randall, S. Can crowdsourcing increase the durability of an urban meteorological network? Urban Clim. (2023). https://doi.org/10.1016/j.uclim.2023.101542.",10.1016/j.uclim.2023.101542,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
6,"Sakthivel, P. & Sengupta, R. Spatial bias in placement of citizen and conventional weather stations and their impact on urban climate research: a case study of the Urban Heat Island effect in Canada. Urban Clim. (2025). https://doi.org/10.1016/j.uclim.2024.102280.",10.1016/j.uclim.2024.102280,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
7,"Romero Rodríguez, L. et al. Forecasting urban temperatures through crowdsourced data from Citizen Weather Stations. Urban Clim. (2024). https://doi.org/10.1016/j.uclim.2024.102021.",10.1016/j.uclim.2024.102021,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
8,"Newman, A. J. et al. The High-resolution Urban Meteorology for Impacts Dataset (HUMID) daily for the Conterminous United States. Sci. Data (2024). https://doi.org/10.1038/s41597-024-04086-2.",10.1038/s41597-024-04086-2,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
9,"Chajaei, F. & Bagheri, H. Machine learning framework for high-resolution air temperature downscaling using LiDAR-derived urban morphological features. Urban Clim. (2024). https://doi.org/10.1016/j.uclim.2024.102102.",10.1016/j.uclim.2024.102102,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
10,"Tang, W. et al. TRIMS LST: a daily 1 km all-weather land surface temperature dataset for China's landmass and surrounding areas (2000–2022). Earth Syst. Sci. Data 16, 387–410 (2024). https://doi.org/10.5194/essd-16-387-2024.",10.5194/essd-16-387-2024,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
11,"Huang, Y., Wang, C., Danzig, T., Lee, T. R. & Pal, S. Urban heat forecasting in small cities: evaluation of a high-resolution operational numerical weather prediction model. Geosci. Model Dev. 18, 9237–9256 (2025). https://doi.org/10.5194/gmd-18-9237-2025.",10.5194/gmd-18-9237-2025,valid,Reference corrected with publisher-page volume/page/article-number information where available; DOI syntax valid.
12,"Kaginalkar, A., Kumar, S., Gargava, P. & Niyogi, D. Stakeholder analysis for designing an urban air quality data governance ecosystem in smart cities. Urban Clim. (2023). https://doi.org/10.1016/j.uclim.2022.101403.",10.1016/j.uclim.2022.101403,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
13,"Allan, M., Rajabifard, A. & Foliente, G. Climate resilient urban regeneration and SDG 11: stakeholders’ view on pathways and digital infrastructures. Int. J. Digit. Earth (2024). https://doi.org/10.1080/17538947.2024.2385076.",10.1080/17538947.2024.2385076,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
14,"Wang, D. & Chen, S. Synergistic action on mitigation and adaptation pilot policies to enhance low-carbon resilience of Chinese cities. Nat. Cities (2025). https://doi.org/10.1038/s44284-025-00303-0.",10.1038/s44284-025-00303-0,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
15,"Bayat, A. & Kawalek, P. Digitization and urban governance: city leaders' perspectives of technologies for infrastructure data. Int. Rev. Adm. Sci. (2023). https://doi.org/10.1177/00208523211033205.",10.1177/00208523211033205,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
16,"Hersbach, H. et al. The ERA5 global reanalysis. Q. J. R. Meteorol. Soc. 146, 1999–2049 (2020). https://doi.org/10.1002/qj.3803.",10.1002/qj.3803,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
17,"Menne, M. J., Durre, I., Vose, R. S., Gleason, B. E. & Houston, T. G. An overview of the Global Historical Climatology Network-Daily Database. J. Atmos. Oceanic Technol. 29, 897–910 (2012). https://doi.org/10.1175/JTECH-D-11-00103.1.",10.1175/JTECH-D-11-00103.1,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
18,"Muller, C. L. et al. Sensors and the city: a review of urban meteorological networks. Int. J. Climatol. (2013). https://doi.org/10.1002/joc.3678.",10.1002/joc.3678,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
19,"Žuvela-Aloise, M., Hahn, C. & Hollósi, B. Evaluation of city-scale PALM model simulations and intra-urban thermal variability in Vienna, Austria using operational and crowdsourced data. Urban Clim. (2024). https://doi.org/10.1016/j.uclim.2024.102245.",10.1016/j.uclim.2024.102245,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
20,"Silva, T. et al. Climate walking: a comparison study of mobile weather stations and their relevance for urban planning, design, human health and well-being. City Environ. Interact. (2025). https://doi.org/10.1016/j.cacint.2025.100212.",10.1016/j.cacint.2025.100212,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
21,"van der Meer, W., Zantinge, F. & Steeneveld, G.-J. Urban fluxes for free: estimating urban turbulent surface fluxes from crowdsourced meteorological canyon layer observations. City Environ. Interact. (2025). https://doi.org/10.1016/j.cacint.2025.100201.",10.1016/j.cacint.2025.100201,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
22,"Abubakar, I. R. et al. Urban planning strategies for addressing climate change in Lagos megacity, Nigeria. Land Use Policy (2025). https://doi.org/10.1016/j.landusepol.2025.107524.",10.1016/j.landusepol.2025.107524,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
23,"Ma, L. et al. Does collaborative governance of natural disasters in urban agglomerations enhance urban resilience? Evidence from China. Environ. Dev. Sustain. (2025). https://doi.org/10.1007/s10668-025-06376-0.",10.1007/s10668-025-06376-0,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
24,"Bayomi, N. & Fernández, J. Eyes in the sky: drones applications in the built environment under climate change challenges. Drones (2023). https://doi.org/10.3390/drones7100637.",10.3390/drones7100637,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
25,"Feigel, G. et al. High spatio-temporal and continuous monitoring of outdoor thermal comfort in urban areas: a generic and modular sensor network and outreach platform. Sustain. Cities Soc. (2024). https://doi.org/10.1016/j.scs.2024.105991.",10.1016/j.scs.2024.105991,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
26,"Ge, S. et al. Prediction of next-day 1-km canopy urban heat island by integrating a multi-block convolutional neural network with satellite- and ground-based observations. Sustain. Cities Soc. (2025). https://doi.org/10.1016/j.scs.2025.106701.",10.1016/j.scs.2025.106701,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
27,"Castro Medina, D. et al. Empowering urban climate resilience and adaptation: crowdsourcing weather citizen stations-enhanced temperature prediction. Sustain. Cities Soc. (2024). https://doi.org/10.1016/j.scs.2024.105208.",10.1016/j.scs.2024.105208,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
28,"Bai, X. Build networked resilience across cities. Science 383, eado5304 (2024). https://doi.org/10.1126/science.ado5304.",10.1126/science.ado5304,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
29,"Bai, X. et al. Translating Earth system boundaries for cities and businesses. Nat. Sustain. 7, 108–119 (2024). https://doi.org/10.1038/s41893-023-01255-w.",10.1038/s41893-023-01255-w,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
30,"Duran-Sala, M., Hendrick, M. & Manoli, G. Scaling intra-urban climate fluctuations. Nat. Cities (2026). https://doi.org/10.1038/s44284-026-00441-z.",10.1038/s44284-026-00441-z,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
31,"Shao, R. et al. Uncovering the hidden role of peri-urban vegetation in modulating urban precipitation. Nat. Cities 3, 393–404 (2026). https://doi.org/10.1038/s44284-026-00416-0.",10.1038/s44284-026-00416-0,valid,Reference corrected with publisher-page volume/page/article-number information where available; DOI syntax valid.
32,"Hong, Z. et al. Decarbonizing emissions from last-mile deliveries in Chinese cities. Nat. Cities 3, 458–466 (2026). https://doi.org/10.1038/s44284-026-00423-1.",10.1038/s44284-026-00423-1,valid,Reference corrected with publisher-page volume/page/article-number information where available; DOI syntax valid.
33,"Smith, E. K. et al. Strong demand for clean air policies in Majority World cities. Nat. Cities (2026). https://doi.org/10.1038/s44284-026-00451-x.",10.1038/s44284-026-00451-x,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
34,"Zimmer, A., Brooks, N. & Tuholske, C. Global divergence in urban demographic change and migration patterns. Nat. Cities (2026). https://doi.org/10.1038/s44284-026-00447-7.",10.1038/s44284-026-00447-7,valid,Retained after reference correction; DOI syntax valid; final Zotero/Crossref check still recommended.
